recipe_id,position,verdict,changed,raw_text,old_qty,new_qty,old_quantity,new_quantity,old_unit,new_unit,old_label,new_label
fluffy-pancakes-with-regular-yogurt,0,WRITE,label,all-purpose flour,1 cup,1 cup,1,1,cup,cup,,all-purpose flour
fluffy-pancakes-with-regular-yogurt,1,WRITE,label,baking soda,1/4 tsp,1/4 tsp,1/4,1/4,tsp,tsp,,baking soda
fluffy-pancakes-with-regular-yogurt,2,WRITE,label,baking powder,1 1/2 tsp,1 1/2 tsp,1 1/2,1 1/2,tsp,tsp,,baking powder
fluffy-pancakes-with-regular-yogurt,3,WRITE,label,salt,1/4 tsp,1/4 tsp,1/4,1/4,tsp,tsp,,salt
fluffy-pancakes-with-regular-yogurt,4,WRITE,label,regular yogurt (any flavor*),1 cup,1 cup,1,1,cup,cup,,regular yogurt (any flavor*)
fluffy-pancakes-with-regular-yogurt,5,WRITE,label,eggs,2,2,2,2,,,,eggs
fluffy-pancakes-with-regular-yogurt,6,WRITE,label,vanilla (optional),1 tsp,1 tsp,1,1,tsp,tsp,,vanilla (optional)
fluffy-pancakes-with-regular-yogurt,7,WRITE,label,butter (melted),2 tbsp,2 tbsp,2,2,tbsp,tbsp,,butter (melted)
gai-yang,0,WRITE,label,"bone-in, skin-on chicken thighs",8,8,8,8,,,,"bone-in, skin-on chicken thighs"
gai-yang,8,WRITE,label,black (dark) soy sauce,1 tbsp,1 tbsp,1,1,tbsp,tbsp,,black (dark) soy sauce
gai-yang,9,WRITE,qty unit,1 Tbsp sugar,1 tbsp,1 Tbsp,1,1,tbsp,Tbsp,sugar,sugar
gai-yang,11,WRITE,qty unit,2 Tbsp neutral oil,2 tbsp,2 Tbsp,2,2,tbsp,Tbsp,neutral oil,neutral oil
gai-yang,17,WRITE,label,"Chili flakes, to taste",to taste,to taste,to taste,to taste,,,chili flakes,"Chili flakes, to taste"
gai-yang,21,WRITE,qty unit,1 Tbsp toasted rice powder,1 tbsp,1 Tbsp,1,1,tbsp,Tbsp,toasted rice powder,toasted rice powder
gai-yang-2,2,WRITE,label qty unit,"1 large lemongrass stalk , white part only, reedy outer layers removed, sliced 5mm / 1/5"" thick",1 large,1 large stalk,1,1,large,large stalk,"lemongrass stalk , white part only, reedy outer layers removed, sliced 5mm / 1/5"" thick","lemongrass, white part only, reedy outer layers removed, sliced 5mm / 1/5"" thick"
gai-yang-2,3,WRITE,label,"4 cloves garlic , peeled (whole)",4 cloves,4 cloves,4,4,cloves,cloves,"garlic , peeled (whole)","garlic, peeled (whole)"
gai-yang-2,5,WRITE,label,"1 tbsp light soy sauce , or any all-purpose soy or tamari",1 tbsp,1 tbsp,1,1,tbsp,tbsp,"light soy sauce , or any all-purpose soy or tamari","light soy sauce, or any all-purpose soy or tamari"
gai-yang-2,8,WRITE,label,"2 tbsp oil , vegetable, canola, or any other neutral flavored oil",2 tbsp,2 tbsp,2,2,tbsp,tbsp,"oil , vegetable, canola, or any other neutral flavored oil","oil, vegetable, canola, or any other neutral flavored oil"
garlic-rice,0,WRITE,label,"50 – 75g/ 4 – 5 tbsp unsalted butter , divided",50 – 75 g,50 – 75 g,50 – 75,50 – 75,g,g,"/ 4 – 5 tbsp unsalted butter , divided","/ 4 – 5 tbsp unsalted butter, divided"
garlic-rice,3,WRITE,label,"3 cups chicken stock/broth , low sodium",3 cups,3 cups,3,3,cups,cups,"chicken stock/broth , low sodium","chicken stock/broth, low sodium"
garlic-rice,5,WRITE,label,"1 tbsp parsley , finely chopped, plus extra for garnish (optional)",1 tbsp,1 tbsp,1,1,tbsp,tbsp,"parsley , finely chopped, plus extra for garnish (optional)","parsley, finely chopped, plus extra for garnish (optional)"
honey-cookies-finikia,10,WRITE,qty unit,Pinch of cloves,pinch,Pinch,,,pinch,Pinch,cloves,cloves
hummus,1,WRITE,qty unit,1 teaspoon baking soda,1 tsp,1 teaspoon,1,1,tsp,teaspoon,baking soda,baking soda
hummus,2,WRITE,label,"garlic, crushed",3 clove,3 clove,3,3,clove,clove,,"garlic, crushed"
hummus,3,WRITE,qty unit,"6 tablespoons/90ml lemon juice, or to taste",6 tbsp,6 tablespoons,6,6,tbsp,tablespoons,"lemon juice, or to taste","lemon juice, or to taste"
hummus,5,WRITE,qty unit,½ teaspoon ground cumin sea salt,½ tsp,½ teaspoon,½,½,tsp,teaspoon,ground cumin sea salt,ground cumin sea salt
hummus,7,WRITE,label,"extra virgin olive oil, to serve",,,,,,,,"extra virgin olive oil, to serve"
jamaican-jerk-fish,12,WRITE,label,"4 x 160g/6 oz thin snapper or other white fish fillets , skinless, boneless (up to 1.5cm / 0.6″ thick)",,,,,,,"4 x 160g/6 oz thin snapper or other white fish fillets , skinless, boneless (up to 1.5cm / 0.6″ thick)","4 x 160g/6 oz thin snapper or other white fish fillets, skinless, boneless (up to 1.5cm / 0.6″ thick)"
key-lime-pie,11,WRITE,qty unit,Pinch of salt,pinch,Pinch,,,pinch,Pinch,salt,salt
khichdi,11,WRITE,qty unit,Pinch of red chile powder,pinch,Pinch,,,pinch,Pinch,red chile powder,red chile powder
khichdi,12,WRITE,qty unit,Pinch of asafetida (optional),pinch,Pinch,,,pinch,Pinch,asafetida (optional),asafetida (optional)
kuku-paka-african-chicken-curry,7,WRITE,label,"1 onion , finely diced",1,1,1,1,,,"onion , finely diced","onion, finely diced"
kuku-paka-african-chicken-curry,9,WRITE,label,"2 tsp ginger , finely minced",2 tsp,2 tsp,2,2,tsp,tsp,"ginger , finely minced","ginger, finely minced"
kuku-paka-african-chicken-curry,14,WRITE,label,"14 oz coconut milk , full-fat",14 oz,14 oz,14,14,oz,oz,"coconut milk , full-fat","coconut milk, full-fat"
leek-and-potato-soup,2,WRITE,label,"3 leeks , white and pale green parts only sliced thinly (about 2 cups)",3,3,3,3,,,"leeks , white and pale green parts only sliced thinly","leeks, white and pale green parts only sliced thinly"
leek-and-potato-soup,3,WRITE,label,"2lb potatoes (Sebago/Russet/Maris Piper) , peeled a diced into 1""/2.5cm cubes",2 lb,2 lb,2,2,lb,lb,"potatoes (Sebago/Russet/Maris Piper) , peeled a diced into 1""/2.5cm cubes","potatoes (Sebago/Russet/Maris Piper), peeled a diced into 1""/2.5cm cubes"
leek-and-potato-soup,5,WRITE,label,"3/4 cup (185 ml) cream , heavy/thickened (sub milk)",3/4 cup,3/4 cup,3/4,3/4,cup,cup,"cream , heavy/thickened (sub milk)","cream, heavy/thickened (sub milk)"
meat-lasagna,10,WRITE,label,"3 beef bouillon cubes , crumbled",3,3,3,3,,,"beef bouillon cubes , crumbled","beef bouillon cubes, crumbled"
meat-lasagna,23,WRITE,qty unit,Pinch of freshly ground nutmeg,pinch,Pinch,,,pinch,Pinch,freshly ground nutmeg,freshly ground nutmeg
mejadra,9,WRITE,label,salt,1 tsp,1 tsp,1,1,tsp,tsp,,salt
