recipe_id,position,old_label,old_raw,new_label,new_raw,display_before,display_after
coconut-curried-golden-lentils,4,,coconut oil (or water),coconut oil (or water),1 Tbsp coconut oil (or water),coconut oil (or water),coconut oil (or water)
coconut-curried-golden-lentils,7,,fresh minced ginger,fresh minced ginger,2-3 Tbsp fresh minced ginger,fresh minced ginger,fresh minced ginger
coconut-curried-golden-lentils,8,,sea salt,sea salt,3/4 tsp sea salt,sea salt,sea salt
coconut-curried-golden-lentils,9,,heaping Tbsp curry powder,heaping Tbsp curry powder,1 heaping Tbsp curry powder,heaping Tbsp curry powder,heaping Tbsp curry powder
coconut-curried-golden-lentils,10,,ground turmeric,ground turmeric,1 tsp ground turmeric,ground turmeric,ground turmeric
coconut-curried-golden-lentils,11,,cayenne pepper,cayenne pepper,1/4 tsp cayenne pepper,cayenne pepper,cayenne pepper
coconut-curried-golden-lentils,12,,coconut milk,coconut milk,1 1/4 – 1 1/2 cups coconut milk,coconut milk,coconut milk
coconut-curried-golden-lentils,13,,coconut sugar or maple syrup,coconut sugar or maple syrup,1-2 Tbsp coconut sugar or maple syrup,coconut sugar or maple syrup,coconut sugar or maple syrup
coconut-curried-golden-lentils,14,,fresh lemon juice,fresh lemon juice,2 Tbsp fresh lemon juice,fresh lemon juice,fresh lemon juice
gai-yang,9,,sugar,sugar,1 Tbsp sugar,sugar,sugar
gai-yang,10,,water,water,½ cup water,water,water
gai-yang,11,,neutral oil,neutral oil,2 Tbsp neutral oil,neutral oil,neutral oil
gai-yang,17,,chili flakes,chili flakes,"Chili flakes, to taste",chili flakes,chili flakes
gai-yang,21,,toasted rice powder,toasted rice powder,1 Tbsp toasted rice powder,toasted rice powder,toasted rice powder
hummus,0,,dried chickpeas,dried chickpeas,1¼ cups/250g dried chickpeas,dried chickpeas,dried chickpeas
hummus,1,,baking soda,baking soda,1 teaspoon baking soda,baking soda,baking soda
hummus,3,,"lemon juice, or to taste","lemon juice, or to taste","6 tablespoons/90ml lemon juice, or to taste","lemon juice, or to taste","lemon juice, or to taste"
hummus,4,,tahini,tahini,¾ cup/180g tahini,tahini,tahini
hummus,5,,ground cumin sea salt,ground cumin sea salt,½ teaspoon ground cumin sea salt,ground cumin sea salt,ground cumin sea salt
hummus,6,,ice cubes,ice cubes,4 ice cubes,ice cubes,ice cubes
hummus,9,,"za'atar, paprika or ground cumin","za'atar, paprika or ground cumin","pinch of za'atar, paprika or ground cumin","za'atar, paprika or ground cumin","za'atar, paprika or ground cumin"
mejadra,0,,olive oil,olive oil,2 tbsp olive oil,olive oil,olive oil
mejadra,1,,cumin seeds (or 1 tsp ground cumin),cumin seeds (or 1 tsp ground cumin),2 tsp cumin seeds (or 1 tsp ground cumin),cumin seeds (or 1 tsp ground cumin),cumin seeds (or 1 tsp ground cumin)
mejadra,2,,coriander seeds (or 1 1/2 tsp ground coriander),coriander seeds (or 1 1/2 tsp ground coriander),1 1/2 tbsp coriander seeds (or 1 1/2 tsp ground coriander),coriander seeds (or 1 1/2 tsp ground coriander),coriander seeds (or 1 1/2 tsp ground coriander)
mejadra,3,,basmati or long grain rice,basmati or long grain rice,1 cup basmati or long grain rice,basmati or long grain rice,basmati or long grain rice
mejadra,4,,water,water,1 1/4 cup / 315 ml water,water,water
mejadra,5,,"canned brown lentils, drained (1 can), drained","canned brown lentils, drained (1 can), drained","400g / 14 oz canned brown lentils, drained (1 can), drained","canned brown lentils, drained (1 can), drained","canned brown lentils, drained (1 can), drained"
mejadra,6,,ground turmeric,ground turmeric,1/2 tsp ground turmeric,ground turmeric,ground turmeric
mejadra,7,,ground cinnamon,ground cinnamon,1 1/2 tsp ground cinnamon,ground cinnamon,ground cinnamon
mejadra,8,,sugar,sugar,1 tsp sugar,sugar,sugar
mejadra,13,,vegetable or sunflower oil,vegetable or sunflower oil,1 cup / 250 ml vegetable or sunflower oil,vegetable or sunflower oil,vegetable or sunflower oil
mussakhan,0,,"chicken thighs and drumsticks, skin on","chicken thighs and drumsticks, skin on","2 lb./1kg chicken thighs and drumsticks, skin on","chicken thighs and drumsticks, skin on","chicken thighs and drumsticks, skin on"
mussakhan,11,,olive oil or any neutral oil,olive oil or any neutral oil,1 tablespoon olive oil or any neutral oil,olive oil or any neutral oil,olive oil or any neutral oil
no-knead-bread,2,,kosher salt,kosher salt,2 tsp kosher salt,kosher salt,kosher salt
palak-chicken-recipe-dhaba-style-saag-wala-chicken,1,,chicken,chicken,1 kg chicken,chicken,chicken
palak-chicken-recipe-dhaba-style-saag-wala-chicken,4,,ginger garlic paste,ginger garlic paste,1 tbsp ginger garlic paste,ginger garlic paste,ginger garlic paste
palak-chicken-recipe-dhaba-style-saag-wala-chicken,5,,Kashmiri red chilli powder,Kashmiri red chilli powder,1 tsp Kashmiri red chilli powder,Kashmiri red chilli powder,Kashmiri red chilli powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,13,,ghee,ghee,2 tbsp ghee,ghee,ghee
palak-chicken-recipe-dhaba-style-saag-wala-chicken,14,,oil,oil,1 tbsp oil,oil,oil
palak-chicken-recipe-dhaba-style-saag-wala-chicken,16,,cumin seeds,cumin seeds,1/2 tsp cumin seeds,cumin seeds,cumin seeds
palak-chicken-recipe-dhaba-style-saag-wala-chicken,17,,inch cinnamon stick,inch cinnamon stick,2 inch cinnamon stick,inch cinnamon stick,inch cinnamon stick
palak-chicken-recipe-dhaba-style-saag-wala-chicken,18,,black peppercorns,black peppercorns,6 black peppercorns,black peppercorns,black peppercorns
palak-chicken-recipe-dhaba-style-saag-wala-chicken,19,,green cardamoms,green cardamoms,2 green cardamoms,green cardamoms,green cardamoms
palak-chicken-recipe-dhaba-style-saag-wala-chicken,20,,black cardamom,black cardamom,1 black cardamom,black cardamom,black cardamom
palak-chicken-recipe-dhaba-style-saag-wala-chicken,21,,whole dry red chillies,whole dry red chillies,2 whole dry red chillies,whole dry red chillies,whole dry red chillies
palak-chicken-recipe-dhaba-style-saag-wala-chicken,24,,"green chillies, slit","green chillies, slit","3 green chillies, slit","green chillies, slit","green chillies, slit"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,25,,ginger garlic paste,ginger garlic paste,2 tbsp ginger garlic paste,ginger garlic paste,ginger garlic paste
palak-chicken-recipe-dhaba-style-saag-wala-chicken,26,,"tomatoes, diced","tomatoes, diced","2 tomatoes, diced","tomatoes, diced","tomatoes, diced"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,29,,turmeric powder,turmeric powder,1/2 tsp turmeric powder,turmeric powder,turmeric powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,30,,Kashmiri red chilli powder,Kashmiri red chilli powder,1 tbsp Kashmiri red chilli powder,Kashmiri red chilli powder,Kashmiri red chilli powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,31,,coriander powder,coriander powder,1.5 tbsp coriander powder,coriander powder,coriander powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,32,,cumin powder,cumin powder,1/2 tsp cumin powder,cumin powder,cumin powder
palak-chicken-recipe-dhaba-style-saag-wala-chicken,34,,ghee,ghee,1 tbsp ghee,ghee,ghee
palak-chicken-recipe-dhaba-style-saag-wala-chicken,35,,"garlic, roughly chopped","garlic, roughly chopped","1 tbsp garlic, roughly chopped","garlic, roughly chopped","garlic, roughly chopped"
palak-chicken-recipe-dhaba-style-saag-wala-chicken,36,,asafoetida,asafoetida,1/2 tsp asafoetida,asafoetida,asafoetida
